FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,Price
Akasa Air,QP 1409,New Delhi,23:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,"5,230"
AirAsia,I5 740,New Delhi,07:50,Bengaluru,10:40,02 h 50 m,"5,235"
AirAsia,I5 1534,New Delhi,22:55,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,"5,235"
IndiGo,6E 2067,New Delhi,03:55,Bengaluru,06:45,02 h 50 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 2403,New Delhi,07:05,Bengaluru,09:50,02 h 45 m,"5,236"
IndiGo,6E 2403,New Delhi,07:05,Bengaluru,09:50,02 h 45 m,"5,236"
IndiGo,6E 308,New Delhi,08:00,Bengaluru,11:00,03 h,"5,236"
IndiGo,6E 2131,New Delhi,21:45,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,"5,236"
IndiGo,6E 6565,New Delhi,22:55,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,"5,236"
Air India,AI 514,New Delhi,03:30,Bengaluru,06:25,02 h 55 m,"5,240"
Air India,AI 803,New Delhi,06:10,Bengaluru,09:00,02 h 50 m,"5,240"
Air India,AI 803,New Delhi,06:10,Bengaluru,09:00,02 h 50 m,"5,240"
Air India,AI 504,New Delhi,21:10,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,"5,240"
SpiceJet,SG 534,New Delhi,21:35,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,"5,297"
SpiceJet,SG 534,New Delhi,21:35,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,"5,297"
SpiceJet,SG 8143,New Delhi,23:55,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,"5,297"
Akasa Air,QP 1350,New Delhi,21:00,Bengaluru,23:35,02 h 35 m,"5,400"
Akasa Air,QP 1350,New Delhi,21:00,Bengaluru,23:35,02 h 35 m,"5,400"
Air India,AI 813,New Delhi,08:00,Bengaluru,10:55,02 h 55 m,"5,503"
IndiGo,6E 2338,New Delhi,20:55,Bengaluru,23:40,02 h 45 m,"5,599"
Vistara,UK 813,New Delhi,17:40,Bengaluru,20:30,02 h 50 m,"6,028"
IndiGo,6E 781,New Delhi,15:30,Bengaluru,18:20,02 h 50 m,"6,216"
IndiGo,6E 2302,New Delhi,20:20,Bengaluru,23:05,02 h 45 m,"6,216"
IndiGo,6E 2302,New Delhi,20:20,Bengaluru,23:05,02 h 45 m,"6,216"
Air India,AI 502,New Delhi,13:40,Bengaluru,16:20,02 h 40 m,"6,343"
Air India,AI 815,New Delhi,15:35,Bengaluru,18:35,03 h,"6,343"
Air India,AI 807,New Delhi,17:00,Bengaluru,20:15,03 h 15 m,"6,343"
Vistara,UK 811,New Delhi,06:15,Bengaluru,09:05,02 h 50 m,"6,448"
Vistara,UK 817,New Delhi,16:05,Bengaluru,18:45,02 h 40 m,"6,448"
Vistara,UK 817,New Delhi,16:05,Bengaluru,18:45,02 h 40 m,"6,448"
IndiGo,6E 6383,New Delhi,11:45,Bengaluru,14:40,02 h 55 m,"7,020"
IndiGo,6E 2514,New Delhi,13:15,Bengaluru,16:10,02 h 55 m,"7,020"
